stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After Emission,emission,B,36,36.00000000000001,63.00000000000001,4,|V_1517>,1.9511985525242136e-33
After Emission,emission,B,37,37.0,62.0,0,|vac>,0.9901799674423168
After Emission,emission,B,37,37.0,62.0,1,|H_780>,0.004910016278841673
After Emission,emission,B,37,37.0,62.0,2,|V_780>,0.0049100162788416795
After Emission,emission,B,37,37.0,62.0,3,|H_1517>,8.571896792304652e-33
After Emission,emission,B,37,37.0,62.0,4,|V_1517>,4.395349313753275e-33
After Emission,emission,B,38,38.0,61.00000000000001,0,|vac>,0.989809742208547
After Emission,emission,B,38,38.0,61.00000000000001,1,|H_780>,0.005095128895726594
After Emission,emission,B,38,38.0,61.00000000000001,2,|V_780>,0.005095128895726605
After Emission,emission,B,38,38.0,61.00000000000001,3,|H_1517>,2.0335990038071193e-33
After Emission,emission,B,38,38.0,61.00000000000001,4,|V_1517>,8.25594261945814e-34
After Emission,emission,B,39,39.00000000000001,60.00000000000001,0,|vac>,0.9894891707216222
After Emission,emission,B,39,39.00000000000001,60.00000000000001,1,|H_780>,0.0052554146391887826
After Emission,emission,B,39,39.00000000000001,60.00000000000001,2,|V_780>,0.005255414639188787
After Emission,emission,B,39,39.00000000000001,60.00000000000001,3,|H_1517>,6.94909530086539e-33
After Emission,emission,B,39,39.00000000000001,60.00000000000001,4,|V_1517>,5.0226580414851686e-33
After Emission,emission,B,40,40.0,59.00000000000001,0,|vac>,0.9892248590750983
After Emission,emission,B,40,40.0,59.00000000000001,1,|H_780>,0.005387570462450629
After Emission,emission,B,40,40.0,59.00000000000001,2,|V_780>,0.005387570462450639
After Emission,emission,B,40,40.0,59.00000000000001,3,|H_1517>,7.539134404331534e-33
After Emission,emission,B,40,40.0,59.00000000000001,4,|V_1517>,5.3996920466710665e-33
After Emission,emission,B,41,41.0,58.0,0,|vac>,0.9890228439871883
After Emission,emission,B,41,41.0,58.0,1,|H_780>,0.0054885780064058715
After Emission,emission,B,41,41.0,58.0,2,|V_780>,0.00548857800640591
After Emission,emission,B,41,41.0,58.0,3,|H_1517>,1.2332229841313034e-33
After Emission,emission,B,41,41.0,58.0,4,|V_1517>,6.248600665723108e-33
After Emission,emission,B,42,42.00000000000001,57.0,0,|vac>,0.9888883690846413
After Emission,emission,B,42,42.00000000000001,57.0,1,|H_780>,0.005555815457679148
After Emission,emission,B,42,42.00000000000001,57.0,2,|V_780>,0.0055558154576791745
After Emission,emission,B,42,42.00000000000001,57.0,3,|H_1517>,1.731276013119827e-33
After Emission,emission,B,42,42.00000000000001,57.0,4,|V_1517>,2.6509302722082914e-33
After Emission,emission,B,43,43.0,56.00000000000001,0,|vac>,0.9888256609039863
After Emission,emission,B,43,43.0,56.00000000000001,1,|H_780>,0.005587169548007445
After Emission,emission,B,43,43.0,56.00000000000001,2,|V_780>,0.005587169548007462
After Emission,emission,B,43,43.0,56.00000000000001,3,|H_1517>,4.3944273133971325e-33
After Emission,emission,B,43,43.0,56.00000000000001,4,|V_1517>,4.289955338200529e-33
After Emission,emission,B,44,44.00000000000001,55.0,0,|vac>,0.9888377164133093
After Emission,emission,B,44,44.00000000000001,55.0,1,|H_780>,0.0055811417933455424
After Emission,emission,B,44,44.00000000000001,55.0,2,|V_780>,0.005581141793345583
After Emission,emission,B,44,44.00000000000001,55.0,3,|H_1517>,1.3973090693914752e-32
After Emission,emission,B,44,44.00000000000001,55.0,4,|V_1517>,6.492103718347553e-34
After Emission,emission,B,45,45.00000000000001,54.0,0,|vac>,0.9889261152986037
After Emission,emission,B,45,45.00000000000001,54.0,1,|H_780>,0.005536942350698094
After Emission,emission,B,45,45.00000000000001,54.0,2,|V_780>,0.005536942350698119
After Emission,emission,B,45,45.00000000000001,54.0,3,|H_1517>,1.6836428748208577e-33
After Emission,emission,B,45,45.00000000000001,54.0,4,|V_1517>,1.2309378341807075e-33
After Emission,emission,B,46,46.0,53.00000000000001,0,|vac>,0.9890908708325338
After Emission,emission,B,46,46.0,53.00000000000001,1,|H_780>,0.005454564583732933
After Emission,emission,B,46,46.0,53.00000000000001,2,|V_780>,0.005454564583732967
After Emission,emission,B,46,46.0,53.00000000000001,3,|H_1517>,3.740656459541354e-33
After Emission,emission,B,46,46.0,53.00000000000001,4,|V_1517>,4.1650253570608965e-34
After Emission,emission,B,47,47.00000000000001,52.0,0,|vac>,0.9893303325966201
After Emission,emission,B,47,47.00000000000001,52.0,1,|H_780>,0.005334833701690004
After Emission,emission,B,47,47.00000000000001,52.0,2,|V_780>,0.005334833701690032
After Emission,emission,B,47,47.00000000000001,52.0,3,|H_1517>,6.093988077922253e-34
After Emission,emission,B,47,47.00000000000001,52.0,4,|V_1517>,1.7825246804727032e-34
After Emission,emission,B,48,48.00000000000001,51.0,0,|vac>,0.9896411524921441
After Emission,emission,B,48,48.00000000000001,51.0,1,|H_780>,0.005179423753927682
After Emission,emission,B,48,48.00000000000001,51.0,2,|V_780>,0.0051794237539277265
After Emission,emission,B,48,48.00000000000001,51.0,3,|H_1517>,3.03434606461282e-34
After Emission,emission,B,48,48.00000000000001,51.0,4,|V_1517>,3.332756683962979e-34
After Emission,emission,B,49,49.0,50.00000000000001,0,|vac>,0.9900183223148845
After Emission,emission,B,49,49.0,50.00000000000001,1,|H_780>,0.004990838842557899
After Emission,emission,B,49,49.0,50.00000000000001,2,|V_780>,0.004990838842557948
After Emission,emission,B,49,49.0,50.00000000000001,3,|H_1517>,2.9997635586979873e-33
